,date_dt,positive_count,negative_count,neutral_count,positive_avg_score,negative_avg_score,neutral_avg_score,total_news_count,total_news_score,signal
0,2021-04-13,1.0,0.0,2.0,0.7570154070854187,0.0,0.7982666492462158,3.0,0.7570154070854187,1.0
1,2021-04-14,44.0,23.0,94.0,0.7863644158298319,0.817362904548645,0.884039470489989,161.0,15.800687491893768,0.31343283582089554
2,2021-04-15,51.0,28.0,73.0,0.8234004349100823,0.8901340344122478,0.858107762793972,152.0,17.06966921687126,0.2911392405063291
3,2021-04-16,14.0,12.0,44.0,0.7947442957333156,0.7985502108931541,0.8322628519751809,70.0,1.5438176095485687,0.07692307692307693
4,2021-04-17,3.0,2.0,9.0,0.6623815099398295,0.7339355647563934,0.7829477588335673,14.0,0.5192734003067017,0.2
5,2021-04-18,5.0,7.0,12.0,0.8780653715133667,0.9649522389684405,0.9122723688681921,24.0,-2.3643388152122498,-0.16666666666666666
6,2021-04-19,20.0,19.0,25.0,0.7498221397399902,0.8401101451171072,0.8538547134399415,64.0,-0.9656499624252337,0.02564102564102564
7,2021-04-20,8.0,5.0,36.0,0.6753687039017677,0.9011237263679505,0.8439256482654147,49.0,0.8973309993743896,0.23076923076923078
8,2021-04-21,14.0,11.0,21.0,0.8010796734264919,0.7409179183569822,0.8456249393167949,46.0,3.0650183260440826,0.12
9,2021-04-22,8.0,5.0,15.0,0.6407451629638672,0.7604119777679443,0.8130774140357971,28.0,1.3239014148712158,0.23076923076923078
10,2021-04-23,5.0,15.0,16.0,0.7656037271022796,0.8840176224708557,0.8479620106518269,36.0,-9.432245701551437,-0.5
11,2021-04-24,1.0,1.0,5.0,0.7548412084579468,0.9322674870491028,0.8320041537284851,7.0,-0.177426278591156,0.0
12,2021-04-25,1.0,1.0,2.0,0.5083627104759216,0.9778628349304199,0.8003352582454681,4.0,-0.4695001244544983,0.0
13,2021-04-26,6.0,8.0,18.0,0.6628632446130117,0.8877420872449875,0.8615312741862403,32.0,-3.12475723028183,-0.14285714285714285
14,2021-04-27,10.0,1.0,20.0,0.7809113383293151,0.7784732580184937,0.8772792145609856,31.0,7.030640125274658,0.8181818181818182
15,2021-04-28,6.0,4.0,9.0,0.7449758450190226,0.9032679796218872,0.8591637545161777,19.0,0.8567831516265869,0.2
16,2021-04-29,6.0,5.0,8.0,0.8777445654074351,0.9348122000694274,0.8984423279762268,19.0,0.5924063920974731,0.09090909090909091
17,2021-04-30,2.0,2.0,17.0,0.7182354032993317,0.8547507524490356,0.8758549585061914,21.0,-0.27303069829940796,0.0
18,2021-05-01,0.0,0.0,1.0,0.0,0.0,0.8658064007759094,1.0,0.0,
19,2021-05-02,1.0,2.0,2.0,0.9692256450653076,0.8066630065441132,0.7489733994007111,5.0,-0.6441003680229187,-0.3333333333333333
20,2021-05-03,8.0,3.0,11.0,0.7995623052120209,0.6961993376413981,0.7571314437822863,22.0,4.307900428771973,0.45454545454545453
21,2021-05-04,6.0,0.0,51.0,0.7429022093613943,0.0,0.8030136110735875,57.0,4.4574132561683655,1.0
22,2021-05-05,3.0,2.0,16.0,0.7393688360850016,0.7167594730854034,0.8268058784306049,21.0,0.784587562084198,0.2
23,2021-05-06,3.0,2.0,11.0,0.663537601629893,0.7587334215641022,0.90207439661026,16.0,0.4731459617614746,0.2
24,2021-05-07,1.0,2.0,8.0,0.8745269775390625,0.7583091855049133,0.9367517232894897,11.0,-0.6420913934707642,-0.3333333333333333
25,2021-05-08,0.0,0.0,1.0,0.0,0.0,0.7089974284172058,1.0,0.0,
26,2021-05-09,2.0,1.0,3.0,0.8692087829113007,0.913061261177063,0.8876166145006815,6.0,0.8253563046455383,0.3333333333333333
27,2021-05-10,5.0,1.0,17.0,0.8077146053314209,0.9250512719154358,0.8742512885261985,23.0,3.1135217547416687,0.6666666666666666
28,2021-05-11,7.0,4.0,12.0,0.8899809462683541,0.8304750621318817,0.8580642839272817,23.0,2.907966375350952,0.2727272727272727
29,2021-05-12,3.0,3.0,15.0,0.591689944267273,0.8221977750460306,0.8639455517133077,21.0,-0.6915234923362732,0.0
30,2021-05-13,9.0,18.0,36.0,0.8868116670184665,0.8635194102923075,0.8768323510885239,63.0,-7.562044382095337,-0.3333333333333333
31,2021-05-14,10.0,4.0,29.0,0.7905936717987061,0.7298868000507355,0.8511792154147707,43.0,4.986389517784119,0.42857142857142855
32,2021-05-15,0.0,2.0,2.0,0.0,0.7815209925174713,0.8358681499958038,4.0,-1.5630419850349426,-1.0
33,2021-05-16,1.0,0.0,3.0,0.9561284184455872,0.0,0.7026680509249369,4.0,0.9561284184455872,1.0
34,2021-05-17,4.0,20.0,20.0,0.8629747927188873,0.8372746735811234,0.8685378178954124,44.0,-13.293594300746918,-0.6666666666666666
35,2021-05-18,3.0,6.0,15.0,0.847314457098643,0.9506346186002096,0.8508105476697286,24.0,-3.1618643403053284,-0.3333333333333333
36,2021-05-19,4.0,36.0,36.0,0.6942665427923203,0.9191983209715949,0.8426119875576761,76.0,-30.314073383808136,-0.8
37,2021-05-20,19.0,13.0,21.0,0.5915782781023728,0.7988978097072015,0.8596845609801156,53.0,0.8543157577514648,0.1875
38,2021-05-21,11.0,11.0,16.0,0.8503364758058027,0.7682141499085859,0.8309269025921822,38.0,0.9033455848693848,0.0
39,2021-05-22,0.0,0.0,7.0,0.0,0.0,0.8220854529312679,7.0,0.0,
40,2021-05-23,1.0,7.0,3.0,0.9456900358200073,0.9082552875791278,0.7530311544736227,11.0,-5.412096977233887,-0.75
