,date_dt,date_hr,positive_count,negative_count,neutral_count,positive_avg_score,negative_avg_score,neutral_avg_score,total_news_count,total_news_score,signal
46,2021-07-02,13,2.0,0.0,0.0,0.5253401398658752,0.0,0.0,2.0,1.0506802797317505,1.0
47,2021-07-02,16,1.0,0.0,0.0,0.6328346729278564,0.0,0.0,1.0,0.6328346729278564,1.0
48,2021-07-07,13,2.0,0.0,0.0,0.5492273569107056,0.0,0.0,2.0,1.0984547138214111,1.0
49,2021-07-12,23,1.0,0.0,0.0,0.6265774369239807,0.0,0.0,1.0,0.6265774369239807,1.0
50,2021-07-19,8,1.0,0.0,0.0,0.5159162282943726,0.0,0.0,1.0,0.5159162282943726,1.0
51,2021-07-21,2,1.0,0.0,0.0,0.7131643891334534,0.0,0.0,1.0,0.7131643891334534,1.0
52,2021-07-26,5,1.0,0.0,0.0,0.8570755124092102,0.0,0.0,1.0,0.8570755124092102,1.0
53,2021-07-26,12,2.0,0.0,0.0,0.7838521599769592,0.0,0.0,2.0,1.5677043199539185,1.0
54,2021-07-26,16,1.0,0.0,0.0,0.9330621957778931,0.0,0.0,1.0,0.9330621957778931,1.0
55,2021-07-27,4,1.0,0.0,0.0,0.8367544412612915,0.0,0.0,1.0,0.8367544412612915,1.0
56,2021-07-29,13,1.0,1.0,0.0,0.5447542071342468,0.9307742714881897,0.0,2.0,-0.38602006435394287,0.0
57,2021-07-29,18,1.0,0.0,0.0,0.9766538739204407,0.0,0.0,1.0,0.9766538739204407,1.0
58,2021-08-02,13,1.0,0.0,0.0,0.9143998026847839,0.0,0.0,1.0,0.9143998026847839,1.0
59,2021-08-03,4,2.0,0.0,0.0,0.8407581448554993,0.0,0.0,2.0,1.6815162897109985,1.0
60,2021-08-03,14,1.0,0.0,0.0,0.5681851506233215,0.0,0.0,1.0,0.5681851506233215,1.0
61,2021-08-04,12,1.0,0.0,0.0,0.5595750212669373,0.0,0.0,1.0,0.5595750212669373,1.0
62,2021-08-04,14,1.0,0.0,0.0,0.7149301171302795,0.0,0.0,1.0,0.7149301171302795,1.0
63,2021-08-05,16,1.0,0.0,1.0,0.9109593033790588,0.0,0.4400111138820648,2.0,0.9109593033790588,1.0
64,2021-08-06,18,1.0,0.0,0.0,0.9397078156471252,0.0,0.0,1.0,0.9397078156471252,1.0
65,2021-08-09,8,1.0,0.0,0.0,0.5729478001594543,0.0,0.0,1.0,0.5729478001594543,1.0
66,2021-08-09,12,1.0,0.0,0.0,0.8444660902023315,0.0,0.0,1.0,0.8444660902023315,1.0
67,2021-08-09,15,1.0,0.0,0.0,0.9399075508117676,0.0,0.0,1.0,0.9399075508117676,1.0
68,2021-08-09,16,1.0,0.0,0.0,0.7441233396530151,0.0,0.0,1.0,0.7441233396530151,1.0
69,2021-08-09,17,1.0,0.0,0.0,0.6103360056877136,0.0,0.0,1.0,0.6103360056877136,1.0
70,2021-08-09,19,1.0,0.0,0.0,0.9077831506729126,0.0,0.0,1.0,0.9077831506729126,1.0
71,2021-08-10,12,1.0,0.0,0.0,0.8454325795173645,0.0,0.0,1.0,0.8454325795173645,1.0
72,2021-08-10,17,1.0,0.0,0.0,0.9798811674118042,0.0,0.0,1.0,0.9798811674118042,1.0
73,2021-08-11,10,1.0,0.0,0.0,0.7928880453109741,0.0,0.0,1.0,0.7928880453109741,1.0
74,2021-08-12,6,1.0,0.0,0.0,0.6862643957138062,0.0,0.0,1.0,0.6862643957138062,1.0
75,2021-08-12,13,1.0,0.0,0.0,0.6856498718261719,0.0,0.0,1.0,0.6856498718261719,1.0
76,2021-08-13,10,1.0,0.0,0.0,0.4763544797897339,0.0,0.0,1.0,0.4763544797897339,1.0
77,2021-08-13,16,1.0,0.0,0.0,0.8480117917060852,0.0,0.0,1.0,0.8480117917060852,1.0
78,2021-08-17,19,1.0,0.0,0.0,0.5967279076576233,0.0,0.0,1.0,0.5967279076576233,1.0
