date,signal
2021-04-11,0.1376630992475508
2021-04-18,0.01892804986861625
2021-04-25,0.12234559995048835
2021-05-02,0.10515145153930432
2021-05-09,0.08452398382456379
2021-05-16,-0.011655913012650496
2021-05-23,0.11151785586330851
2021-05-30,0.16542405197628243
2021-06-06,0.10513109071723141
2021-06-13,0.09480450716387473
2021-06-20,0.022915296331221524
2021-06-27,-0.08671668558469206
2021-07-04,-0.16884020245306045
2021-07-11,-0.126210063938864
2021-07-18,-0.2207543687925048
2021-07-25,-0.03642642207396025
2021-08-01,0.0032329780598706896
2021-08-08,0.008286148853724338
2021-08-15,-0.021676421351095078
2021-08-22,-0.020164923124969262
2021-08-29,-0.1494648955363508
2021-09-05,0.051932656107543884
2021-09-12,-0.2034563863998872
2021-09-19,-0.19086683257049727
2021-09-26,-0.08541195300440109
2021-10-03,-0.08948775093758449
2021-10-10,0.10821046907901333
2021-10-17,0.060380821585033946
2021-10-24,0.0689732273787321
2021-10-31,0.0815916417555232
2021-11-07,0.04703618884075012
2021-11-14,0.020572077743761488
2021-11-21,0.1560440419284144
2021-11-28,0.11533600533464368
2021-12-05,0.054737001518111235
2021-12-12,-0.0700201710204114
2021-12-19,0.041032267004788174
2021-12-26,-0.03365566267301613
2022-01-02,0.08267890330002052
2022-01-09,0.02884839180210052
2022-01-16,0.013937056920431524
2022-01-23,0.04665652687952321
2022-01-30,0.07562076202328881
2022-02-06,0.11060522749113637
2022-02-13,-0.0641741280022638
2022-02-20,-0.022355674930506157
2022-02-27,0.017938230400352525
2022-03-06,-0.04756500780586584
2022-03-13,-0.12308642175395126
2022-03-20,-0.08288623469683079
2022-03-27,-0.052910153809616396
2022-04-03,-0.11578096016874713
2022-04-10,-0.10950167114631482
2022-04-17,-0.050931801626313396
2022-04-24,-0.114762249625548
2022-05-01,-0.1602412311587587
2022-05-08,0.031305953282713087
2022-05-15,-0.05677621755749165
2022-05-22,-0.1107528239719963
2022-05-29,-0.05596018096294117
2022-06-05,-0.0851396479600504
2022-06-12,0.017282416379125986
2022-06-19,-0.07577088596900741
2022-06-26,-0.04181437716446909
2022-07-03,-0.046702433670042655
2022-07-10,-0.0922904520182149
2022-07-17,-0.1230278816602857
2022-07-24,-0.03966390707544776
2022-07-31,-0.07002087951066203
2022-08-07,-0.03244290987890277
2022-08-14,-0.10291669142978568
2022-08-21,-0.015254120609693146
2022-08-28,-0.04658381190999281
2022-09-04,0.02476636297544695
2022-09-11,-0.007867196688623177
2022-09-18,-0.0406688843943241
2022-09-25,-0.08473440041659523
2022-10-02,0.006718853721253268
2022-10-09,-0.030553025124789548
2022-10-16,-0.13471502857929313
2022-10-23,-0.11817446203916533
2022-10-30,-0.10372777637702847
2022-11-06,0.005956602075149312
2022-11-13,-0.008591587881404827
2022-11-20,-0.032442883757389886
2022-11-27,-0.028366225512773555
2022-12-04,-0.08944799402266629
2022-12-11,-0.021942431556186342
2022-12-18,-0.13615779620347088
2022-12-25,0.25933599514763334
2023-01-01,0.29240288834184075
2023-01-08,-0.013834596811513783
2023-01-15,-0.11064753655383022
2023-01-22,-0.11777520070860788
2023-01-29,0.0914036825713907
2023-02-05,0.058224750831400995
2023-02-12,0.08347322007925938
2023-02-19,0.04882761348458374
2023-02-26,0.1462075484141667
2023-03-05,-0.014584033665297058
2023-03-12,0.10211704331756905
2023-03-19,0.023899554285504818
2023-03-26,0.08571287022945656
2023-04-02,0.08972953977322289
2023-04-09,0.11555616880309107
2023-04-16,0.11329565323236199
2023-04-23,0.01691000916886483
2023-04-30,0.08257892182320074
2023-05-07,0.11703189556252866
2023-05-14,-0.027619119821236392
2023-05-21,-0.05304459217726121
2023-05-28,-0.03432099025241946
2023-06-04,0.1655031365484548
2023-06-11,0.011900206671553351
2023-06-18,0.06434683567671586
2023-06-25,0.07925632783244933
2023-07-02,0.09344040074316678
2023-07-09,0.04524007179775611
2023-07-16,0.00010169371746986138
2023-07-23,0.12754258518092446
2023-07-30,0.0795368261915517
2023-08-06,0.013078956053145593
2023-08-13,0.08582181307942856
2023-08-20,0.007653923055159308
2023-08-27,0.07977885958046523
2023-09-03,-0.03210323455780408
2023-09-10,-0.03492131748685494
2023-09-17,-0.0006925852150336787
2023-09-24,0.0942555003867856
2023-10-01,-0.043283337689208216
2023-10-08,0.07943899404189801
2023-10-15,-0.04423925275484562
2023-10-22,0.14510147799428624
2023-10-29,0.21489850633180246
2023-11-05,0.12983088419825684
2023-11-12,0.09685155517804547
2023-11-19,0.13584689760026547
2023-11-26,0.09446638739131383
2023-12-03,0.1980007142886803
2023-12-10,0.01078029303995641
2023-12-17,0.124363475350073
2023-12-24,0.1932461134559999
2023-12-31,0.021544491653164455
2024-01-07,0.25673987059906256
2024-01-14,0.03184714635216039
2024-01-21,0.13288463006264642
2024-01-28,0.014866035411056184
2024-02-04,0.11507139393348942
2024-02-11,0.11520145509967088
2024-02-18,0.02934806769112369
2024-02-25,0.2004692183477313
2024-03-03,0.20776023016025816
2024-03-10,0.22447319981179245
2024-03-17,0.23743946558587542
2024-03-24,0.14247943949854566
