date,signal
2021-04-11,0.1376630992475508
2021-04-12,0.1376630992475508
2021-04-13,0.1376630992475508
2021-04-14,0.1376630992475508
2021-04-15,0.1376630992475508
2021-04-16,0.1376630992475508
2021-04-17,0.1376630992475508
2021-04-18,0.01892804986861625
2021-04-19,0.01892804986861625
2021-04-20,0.01892804986861625
2021-04-21,0.01892804986861625
2021-04-22,0.01892804986861625
2021-04-23,0.01892804986861625
2021-04-24,0.01892804986861625
2021-04-25,0.12234559995048835
2021-04-26,0.12234559995048835
2021-04-27,0.12234559995048835
2021-04-28,0.12234559995048835
2021-04-29,0.12234559995048835
2021-04-30,0.12234559995048835
2021-05-01,0.12234559995048835
2021-05-02,0.10515145153930432
2021-05-03,0.10515145153930432
2021-05-04,0.10515145153930432
2021-05-05,0.10515145153930432
2021-05-06,0.10515145153930432
2021-05-07,0.10515145153930432
2021-05-08,0.10515145153930432
2021-05-09,0.08452398382456379
2021-05-10,0.08452398382456379
2021-05-11,0.08452398382456379
2021-05-12,0.08452398382456379
2021-05-13,0.08452398382456379
2021-05-14,0.08452398382456379
2021-05-15,0.08452398382456379
2021-05-16,-0.011655913012650496
2021-05-17,-0.011655913012650496
2021-05-18,-0.011655913012650496
2021-05-19,-0.011655913012650496
2021-05-20,-0.011655913012650496
2021-05-21,-0.011655913012650496
2021-05-22,-0.011655913012650496
2021-05-23,0.11151785586330851
2021-05-24,0.11151785586330851
2021-05-25,0.11151785586330851
2021-05-26,0.11151785586330851
2021-05-27,0.11151785586330851
2021-05-28,0.11151785586330851
2021-05-29,0.11151785586330851
2021-05-30,0.16542405197628243
2021-05-31,0.16542405197628243
2021-06-01,0.16542405197628243
2021-06-02,0.16542405197628243
2021-06-03,0.16542405197628243
2021-06-04,0.16542405197628243
2021-06-05,0.16542405197628243
2021-06-06,0.10513109071723141
2021-06-07,0.10513109071723141
2021-06-08,0.10513109071723141
2021-06-09,0.10513109071723141
2021-06-10,0.10513109071723141
2021-06-11,0.10513109071723141
2021-06-12,0.10513109071723141
2021-06-13,0.09480450716387473
2021-06-14,0.09480450716387473
2021-06-15,0.09480450716387473
2021-06-16,0.09480450716387473
2021-06-17,0.09480450716387473
2021-06-18,0.09480450716387473
2021-06-19,0.09480450716387473
2021-06-20,0.022915296331221524
2021-06-21,0.022915296331221524
2021-06-22,0.022915296331221524
2021-06-23,0.022915296331221524
2021-06-24,0.022915296331221524
2021-06-25,0.022915296331221524
2021-06-26,0.022915296331221524
2021-06-27,-0.08671668558469206
2021-06-28,-0.08671668558469206
2021-06-29,-0.08671668558469206
2021-06-30,-0.08671668558469206
2021-07-01,-0.08671668558469206
2021-07-02,-0.08671668558469206
2021-07-03,-0.08671668558469206
2021-07-04,-0.16884020245306045
2021-07-05,-0.16884020245306045
2021-07-06,-0.16884020245306045
2021-07-07,-0.16884020245306045
2021-07-08,-0.16884020245306045
2021-07-09,-0.16884020245306045
2021-07-10,-0.16884020245306045
2021-07-11,-0.126210063938864
2021-07-12,-0.126210063938864
2021-07-13,-0.126210063938864
2021-07-14,-0.126210063938864
2021-07-15,-0.126210063938864
2021-07-16,-0.126210063938864
2021-07-17,-0.126210063938864
2021-07-18,-0.2207543687925048
2021-07-19,-0.2207543687925048
2021-07-20,-0.2207543687925048
2021-07-21,-0.2207543687925048
2021-07-22,-0.2207543687925048
2021-07-23,-0.2207543687925048
2021-07-24,-0.2207543687925048
2021-07-25,-0.03642642207396025
2021-07-26,-0.03642642207396025
2021-07-27,-0.03642642207396025
2021-07-28,-0.03642642207396025
2021-07-29,-0.03642642207396025
2021-07-30,-0.03642642207396025
2021-07-31,-0.03642642207396025
2021-08-01,0.0032329780598706896
2021-08-02,0.0032329780598706896
2021-08-03,0.0032329780598706896
2021-08-04,0.0032329780598706896
2021-08-05,0.0032329780598706896
2021-08-06,0.0032329780598706896
2021-08-07,0.0032329780598706896
2021-08-08,0.008286148853724338
2021-08-09,0.008286148853724338
2021-08-10,0.008286148853724338
2021-08-11,0.008286148853724338
2021-08-12,0.008286148853724338
2021-08-13,0.008286148853724338
2021-08-14,0.008286148853724338
2021-08-15,-0.021676421351095078
2021-08-16,-0.021676421351095078
2021-08-17,-0.021676421351095078
2021-08-18,-0.021676421351095078
2021-08-19,-0.021676421351095078
2021-08-20,-0.021676421351095078
2021-08-21,-0.021676421351095078
2021-08-22,-0.020164923124969262
2021-08-23,-0.020164923124969262
2021-08-24,-0.020164923124969262
2021-08-25,-0.020164923124969262
2021-08-26,-0.020164923124969262
2021-08-27,-0.020164923124969262
2021-08-28,-0.020164923124969262
2021-08-29,-0.1494648955363508
2021-08-30,-0.1494648955363508
2021-08-31,-0.1494648955363508
2021-09-01,-0.1494648955363508
2021-09-02,-0.1494648955363508
2021-09-03,-0.1494648955363508
2021-09-04,-0.1494648955363508
2021-09-05,0.051932656107543884
2021-09-06,0.051932656107543884
2021-09-07,0.051932656107543884
2021-09-08,0.051932656107543884
2021-09-09,0.051932656107543884
2021-09-10,0.051932656107543884
2021-09-11,0.051932656107543884
2021-09-12,-0.2034563863998872
2021-09-13,-0.2034563863998872
2021-09-14,-0.2034563863998872
2021-09-15,-0.2034563863998872
2021-09-16,-0.2034563863998872
2021-09-17,-0.2034563863998872
2021-09-18,-0.2034563863998872
2021-09-19,-0.19086683257049727
2021-09-20,-0.19086683257049727
2021-09-21,-0.19086683257049727
2021-09-22,-0.19086683257049727
2021-09-23,-0.19086683257049727
2021-09-24,-0.19086683257049727
2021-09-25,-0.19086683257049727
2021-09-26,-0.08541195300440109
