,Returns
2014-09-18,-0.0746433511490503
2014-09-19,-0.0724015083159868
2014-09-20,0.03511123892408019
2014-09-21,-0.02496765857312777
2014-09-22,0.008317415847791665
2014-09-23,0.08033258980830826
2014-09-24,-0.029306072958098284
2014-09-25,-0.027867817193167888
2014-09-26,-0.01752257126516721
2014-09-27,-0.012202475999441909
2014-09-28,-0.057538621345173624
2014-09-29,-0.004554565208133354
2014-09-30,0.030109367868546677
2014-10-01,-0.008640560327417113
2014-10-02,-0.022521436563614827
2014-10-03,-0.042370445494221975
2014-10-04,-0.0890971731632364
2014-10-05,-0.02573685720834984
2014-10-06,0.029418542484082266
2014-10-07,0.018335537549769576
2014-10-08,0.04863049010753251
2014-10-09,0.03367050886515788
2014-10-10,-0.00953501968586945
2014-10-11,0.0020363018397686616
2014-10-12,0.0438756838025256
2014-10-13,0.030862165749713455
2014-10-14,0.026429454735337643
2014-10-15,-0.015326230901941074
2014-10-16,-0.03143589499615462
2014-10-17,0.0031370869973761373
2014-10-18,0.01982518661870092
2014-10-19,-0.004855387987120707
2014-10-20,-0.01735172205271507
2014-10-21,0.00943698795797232
2014-10-22,-0.00861978932439289
2014-10-23,-0.06675031813644416
2014-10-24,-0.00020087830465698175
2014-10-25,-0.03139076919021466
2014-10-26,0.02117822335217845
2014-10-27,-0.004846733365239331
2014-10-28,0.013028475982844512
2014-10-29,-0.06357224291092667
2014-10-30,0.028534896464091908
2014-10-31,-0.020432871725218682
2014-11-01,-0.03786806709055757
2014-11-02,0.0004389084643792174
2014-11-03,0.005086850113011465
2014-11-04,0.008929583542814257
2014-11-05,0.026850220194643448
2014-11-06,0.028469860439230388
2014-11-07,-0.019879070506610752
2014-11-08,0.008934452738033727
2014-11-09,0.050171934079645375
2014-11-10,0.010024909256235226
2014-11-11,0.002099037344141408
2014-11-12,0.14144374235950075
2014-11-13,-0.006694405456441288
2014-11-14,-0.056008549913856065
2014-11-15,-0.056051804516045856
2014-11-16,0.030758347508880846
2014-11-17,-0.0012227659222476817
2014-11-18,-0.032024492730085896
2014-11-19,0.014176812837003006
2014-11-20,-0.061544745368212084
2014-11-21,-0.019732890613734178
2014-11-22,0.0058883821245041545
2014-11-23,0.040680492667465984
2014-11-24,0.02506062301536982
2014-11-25,-0.004128981904107043
2014-11-26,-0.018765719594815877
2014-11-27,0.0035228975123793305
2014-11-28,0.018166490984887318
2014-11-29,-0.00254274736036475
2014-11-30,0.00678402304273984
2014-12-01,0.00316390258603505
2014-12-02,0.005443390244398216
2014-12-03,-0.01667309327292088
2014-12-04,-0.014520545533967422
2014-12-05,0.01942568211280804
2014-12-06,-0.00550531691143874
2014-12-07,0.0008267924847551456
2014-12-08,-0.03578654091018674
2014-12-09,-0.027139664971794986
2014-12-10,-0.01676002046478242
2014-12-11,0.011884754732860436
2014-12-12,0.005791883069589332
2014-12-13,-0.014761954756862927
2014-12-14,0.0121773543779371
2014-12-15,-0.0180412206522389
2014-12-16,-0.0543941296973518
2014-12-17,-0.022529037468552282
2014-12-18,-0.026555352175350322
2014-12-19,0.02049210790497291
2014-12-20,0.03740178353672974
2014-12-21,-0.028007426419111248
2014-12-22,0.033839628681328726
2014-12-23,0.008060580781696913
2014-12-24,-0.03664352960532735
2014-12-25,-0.010992379373534256
2014-12-26,0.027565741401271993
2014-12-27,-0.037473312321175456
2014-12-28,0.004346879974207241
2014-12-29,-0.014507111911498782
2014-12-30,-0.006201470535028619
2014-12-31,0.029977023965103378
2015-01-01,-0.018738274882212025
2015-01-02,0.0024886192856889977
2015-01-03,-0.1140278177246481
2015-01-04,-0.06195894974124361
2015-01-05,0.03816904066200966
2015-01-06,0.0417958802770686
2015-01-07,0.0280729729527458
2015-01-08,-0.03804603850823263
2015-01-09,0.024607444672523293
2015-01-10,-0.05525782685593139
2015-01-11,-0.03381165828602217
2015-01-12,0.00800814975810038
2015-01-13,-0.17030572694913548
2015-01-14,-0.23755771549530547
2015-01-15,0.16400235279402953
2015-01-16,-0.0083600518607998
2015-01-17,-0.04339384068730556
2015-01-18,0.054110059297181046
2015-01-19,0.021270735850478673
2015-01-20,-0.016641349425745133
2015-01-21,0.07114626123199308
2015-01-22,0.028283267563904424
2015-01-23,-0.0022604556308021273
2015-01-24,0.06229262485473264
2015-01-25,0.023411802380044477
2015-01-26,0.07497944406522539
2015-01-27,-0.03724435725045616
2015-01-28,-0.11900073718364457
2015-01-29,-0.0017200206333916057
2015-01-30,-0.030823974429389445
2015-01-31,-0.04038043738172892
2015-02-01,0.042793322036319914
2015-02-02,0.04840574994570179
2015-02-03,-0.04710245086440956
2015-02-04,-0.0018277448453041245
2015-02-05,-0.043893507993349345
2015-02-06,0.023466183275696828
2015-02-07,0.02439119754380581
