,date_dt,positive_count,negative_count,neutral_count,positive_avg_score,negative_avg_score,neutral_avg_score,total_news_count,total_news_score,signal
1,2021-04-14,10.0,2.0,10.0,0.9072427570819854,0.959676593542099,0.849137032032013,22.0,7.153074383735657,0.6666666666666666
2,2021-04-15,6.0,10.0,7.0,0.6230004280805588,0.8954730331897736,0.7265837107385907,23.0,-5.216727763414383,-0.25
3,2021-04-16,1.0,2.0,3.0,0.7259349226951599,0.804261714220047,0.8183265328407288,6.0,-0.8825885057449341,-0.3333333333333333
4,2021-04-18,2.0,6.0,1.0,0.8861298859119415,0.9622852305571238,0.8998252153396606,9.0,-4.00145161151886,-0.5
5,2021-04-19,3.0,5.0,2.0,0.8675076365470886,0.7856399774551391,0.7862325310707092,10.0,-1.32567697763443,-0.25
6,2021-04-20,3.0,3.0,1.0,0.7221980889638265,0.8955341180165609,0.7264186143875122,7.0,-0.5200080871582031,0.0
7,2021-04-21,1.0,1.0,5.0,0.642195999622345,0.47625625133514404,0.7316098213195801,7.0,0.16593974828720093,0.0
8,2021-04-23,1.0,11.0,3.0,0.5862659215927124,0.9068479375405745,0.8996528387069702,15.0,-9.389061391353607,-0.8333333333333334
9,2021-04-26,4.0,0.0,4.0,0.6675508171319962,0.0,0.8563130050897598,8.0,2.6702032685279846,1.0
10,2021-04-27,3.0,1.0,4.0,0.7584202488263448,0.7784744501113892,0.9563405811786652,8.0,1.4967862963676453,0.5
11,2021-05-04,1.0,0.0,4.0,0.9352485537528992,0.0,0.6886302679777145,5.0,0.9352485537528992,1.0
12,2021-05-09,2.0,1.0,0.0,0.8692087531089783,0.9130614995956421,0.0,3.0,0.8253560066223145,0.3333333333333333
13,2021-05-11,2.0,0.0,0.0,0.9498376250267029,0.0,0.0,2.0,1.8996752500534058,1.0
14,2021-05-13,1.0,8.0,2.0,0.9063049554824829,0.7989866212010384,0.7745719254016876,11.0,-5.485588014125824,-0.7777777777777778
15,2021-05-19,1.0,19.0,3.0,0.5990457534790039,0.9218370255671049,0.7404329776763916,23.0,-16.91585773229599,-0.9
16,2021-05-20,6.0,2.0,0.0,0.6801256140073141,0.4540584832429886,0.0,8.0,3.172636717557907,0.5
17,2021-05-24,1.0,0.0,2.0,0.7916097044944763,0.0,0.6759760677814484,3.0,0.7916097044944763,1.0
18,2021-05-25,1.0,5.0,2.0,0.7250131368637085,0.7708250045776367,0.9615310728549957,8.0,-3.129111886024475,-0.6666666666666666
19,2021-06-14,1.0,1.0,3.0,0.9012789726257324,0.8601041436195374,0.8089136083920797,5.0,0.04117482900619507,0.0
20,2021-06-22,2.0,4.0,0.0,0.6612038016319275,0.9409005492925644,0.0,6.0,-2.4411945939064026,-0.3333333333333333
21,2021-06-23,1.0,2.0,1.0,0.6083500981330872,0.9688491523265839,0.972582221031189,4.0,-1.3293482065200806,-0.3333333333333333
22,2021-06-28,1.0,2.0,3.0,0.8047908544540405,0.77168869972229,0.9228439331054688,6.0,-0.7385865449905396,-0.3333333333333333
23,2021-06-29,1.0,0.0,2.0,0.8831343650817871,0.0,0.8787748217582703,3.0,0.8831343650817871,1.0
24,2021-07-02,3.0,0.0,0.0,0.5611716508865356,0.0,0.0,3.0,1.683514952659607,1.0
25,2021-07-07,2.0,0.0,0.0,0.5492273569107056,0.0,0.0,2.0,1.0984547138214111,1.0
26,2021-07-12,1.0,2.0,0.0,0.6265774369239807,0.7986286282539368,0.0,3.0,-0.9706798195838928,-0.3333333333333333
27,2021-07-19,1.0,2.0,0.0,0.5159162282943726,0.9036470651626587,0.0,3.0,-1.2913779020309448,-0.3333333333333333
28,2021-07-21,1.0,2.0,1.0,0.7131643891334534,0.8956040143966675,0.9569832682609558,4.0,-1.0780436396598816,-0.3333333333333333
29,2021-07-26,4.0,0.0,2.0,0.8394605070352554,0.0,0.9097720682621002,6.0,3.3578420281410217,1.0
30,2021-07-27,1.0,3.0,0.0,0.8367544412612915,0.8935641249020895,0.0,4.0,-1.8439379334449768,-0.5
31,2021-07-29,2.0,1.0,0.0,0.7607040405273438,0.9307742714881897,0.0,3.0,0.5906338095664978,0.3333333333333333
32,2021-08-02,1.0,1.0,0.0,0.9143998026847839,0.660121500492096,0.0,2.0,0.254278302192688,0.0
33,2021-08-03,3.0,0.0,0.0,0.7499004801114401,0.0,0.0,3.0,2.24970144033432,1.0
34,2021-08-04,2.0,0.0,0.0,0.6372525691986084,0.0,0.0,2.0,1.2745051383972168,1.0
35,2021-08-05,1.0,0.0,1.0,0.9109593033790588,0.0,0.4400111138820648,2.0,0.9109593033790588,1.0
36,2021-08-06,1.0,0.0,1.0,0.9397078156471252,0.0,0.5914727449417114,2.0,0.9397078156471252,1.0
37,2021-08-09,6.0,1.0,0.0,0.7699273228645325,0.5784951448440552,0.0,7.0,4.04106879234314,0.7142857142857143
38,2021-08-10,2.0,1.0,2.0,0.9126568734645844,0.9595897793769836,0.5093213319778442,5.0,0.8657239675521851,0.3333333333333333
39,2021-08-11,1.0,0.0,0.0,0.7928880453109741,0.0,0.0,1.0,0.7928880453109741,1.0
40,2021-08-12,2.0,1.0,2.0,0.685957133769989,0.9636350870132446,0.7661704421043396,5.0,0.4082791805267334,0.3333333333333333
41,2021-08-13,2.0,0.0,0.0,0.6621831357479095,0.0,0.0,2.0,1.324366271495819,1.0
42,2021-08-17,1.0,0.0,1.0,0.5967279076576233,0.0,0.9033092260360718,2.0,0.5967279076576233,1.0
43,2021-08-18,2.0,1.0,1.0,0.9320446848869324,0.9317253232002258,0.9352190494537354,4.0,0.9323640465736389,0.3333333333333333
