date_dt,y_test,y_pred,residuals
2021-12-28,-0.0602594256209162,-0.07448900073993467,0.01422957511901847
2021-10-05,0.0489058891172546,0.022627564482533738,0.026278324634720865
2023-11-20,0.0024182537251242,0.03763407555107902,-0.03521582182595482
2022-10-14,-0.0101763927558988,-0.009832515493129523,-0.0003438772627692762
2021-08-25,0.0263000208142856,0.014999996156063906,0.011300024658221695
2022-05-03,-0.0202151202188917,-0.02467411648525457,0.004458996266362869
2022-12-20,0.0283840688425822,0.0217701456949886,0.006613923147593601
2023-08-21,-0.0024988315741878,-0.01657158601303063,0.014072754438842832
2022-03-11,-0.0162913196229393,-0.05242582655925292,0.03613450693631362
2022-03-18,0.0207508847429873,0.03508194202088895,-0.014331057277901647
2022-02-25,0.0229989397897596,0.04863040770876967,-0.025631467919010067
2024-01-14,-0.0244177193838242,-0.017938808319944925,-0.006478911063879274
2021-08-29,-0.001483982565721,0.002813095632804845,-0.004297078198525844
2023-12-30,0.0013658151137276,-0.0074327712717155645,0.008798586385443164
2023-08-18,-0.0230641103114871,-0.025520302379353564,0.0024561920678664653
2021-09-13,-0.0238844381585552,-0.009163393195035684,-0.014721044963519517
2023-05-02,0.0209660330268972,-0.007505851516063908,0.02847188454296111
2021-08-04,0.0417928931871005,0.01222030417919949,0.02957258900790101
2021-09-02,0.0098408304177286,0.01837172806004301,-0.008530897642314409
2022-05-10,0.0239612584805093,-0.010743173646653115,0.03470443212716241
2022-11-25,-0.0049759536156385,0.00893095910638133,-0.01390691272201983
2023-10-03,-0.0036615970105057,-0.03067355229924612,0.02701195528874042
2021-06-07,-0.064180680289418,-0.053990921261640165,-0.010189759027777828
2023-10-26,-0.0100331471996967,0.014989339026014514,-0.025022486225711214
2023-03-27,-0.0305219451176532,-0.018275739482510277,-0.012246205635142924
2021-04-27,0.0187214077315063,0.0004465298919788807,0.018274877839527418
2023-12-18,0.0304335845227197,0.02309143467405761,0.007342149848662091
2021-10-18,0.0076755998930302,0.03852481881272567,-0.030849218919695467
2022-05-16,-0.0460690015571287,-0.027267337454971646,-0.018801664102157056
2024-03-08,0.0205394012137098,0.022180839691108983,-0.0016414384773991847
2022-04-17,-0.0175025423561756,-0.016092269953943493,-0.0014102724022321059
2023-07-14,-0.0362809345920698,-0.036576939005029285,0.00029600441295948854
2022-11-08,-0.1000613159494843,-0.07092867795922689,-0.029132637990257407
2023-12-19,-0.0082820837151126,0.018839894977709652,-0.027121978692822252
2021-08-17,-0.0284564650117329,-0.020830477502650054,-0.007625987509082846
2022-03-14,0.0480080837903738,0.015058034198452044,0.03295004959192176
2024-02-22,-0.0103050826511981,0.011099276710600132,-0.021404359361798235
2022-12-14,0.001930792225645,-0.027240580975485224,0.029171373201130224
2021-09-10,-0.0324954842473235,-0.025874411635794868,-0.006621072611528632
2024-02-06,0.0099863386864791,0.005639029835967695,0.0043473088505114055
2022-05-02,0.0015657861708791,0.011786176458423045,-0.010220390287543945
2021-12-06,0.0245858957900213,0.00645614164543367,0.018129754144587628
2022-08-04,-0.0094347365041087,0.0024915657914142963,-0.011926302295522996
2023-10-31,0.0047943953114624,0.024611278771693446,-0.019816883460231045
2024-01-19,0.0086362064423022,0.009802792523378297,-0.0011665860810760962
2023-05-01,-0.0402216016424802,-0.048287587518355955,0.008065985875875759
2022-01-15,0.0018027786773091,-0.001521410269655507,0.003324188946964607
2023-09-14,0.011870739692642,0.055540681427025645,-0.04366994173438365
2021-04-16,-0.0275013793784661,-0.005136991703185621,-0.02236438767528048
2023-04-28,-0.0045303099370805,0.03316229882405353,-0.037692608761134026
2023-09-20,-0.0029072446550022,0.0018583310180251417,-0.0047655756730273415
2022-05-14,0.0279397335374114,-0.004246676568531282,0.032186410105942684
2023-07-02,0.0010033124506771,0.009213520124180481,-0.008210207673503382
2021-09-14,0.0473592610325122,0.01365471278098182,0.03370454825153038
2024-02-13,-0.0043192339224062,0.0012893555425849829,-0.0056085894649911825
2023-12-13,0.0347529986315475,0.0387597868738061,-0.004006788242258599
2022-09-29,0.0075324127196341,-0.0008489321830862512,0.008381344902720352
2024-03-14,-0.0230819028918976,0.0011680164597094034,-0.024249919351607002
2021-11-08,0.0669515471811146,0.04763547182648363,0.019316075354630965
2024-02-27,0.0470076269538002,0.06199659846636066,-0.014988971512560456
2022-07-20,-0.0067424108943424,0.0023605649585386745,-0.009102975852881074
2023-01-09,0.0061675305628166,-0.012336633825746776,0.018504164388563376
2021-06-16,-0.0509625623730847,-0.033704242175515695,-0.017258320197569003
2023-06-15,0.0179790877276557,0.014691712812963324,0.0032873749146923766
2024-01-23,0.0085600134310392,-0.003503779331240575,0.012063792762279776
2021-09-01,0.0356255639904752,0.03643435868544748,-0.0008087946949722757
2021-04-14,0.0032374804732979,0.029782070393470583,-0.02654458992017268
2021-05-03,0.0100512803675323,-0.0006217019280129396,0.01067298229554524
2023-02-06,-0.0085188833332865,-0.02133168330301798,0.012812799969731479
2021-05-23,-0.0736893688644572,-0.04667486153555118,-0.027014507328906028
2021-10-31,-0.0092080425707864,-0.0042480940977955295,-0.004959948472990871
2021-09-24,-0.0457811156128283,-0.025991101168099922,-0.019790014444728377
2022-01-12,0.0283894186846727,0.019747423730199762,0.008641994954472938
2021-09-08,-0.0153753668853284,-0.05550896435815228,0.04013359747282388
2024-03-05,-0.0662840245576039,-0.026998873486883443,-0.03928515107072046
2023-03-02,-0.0072350503021632,-0.0008481345134698989,-0.006386915788693301
2021-05-17,-0.0628238159530961,-0.030190469284542158,-0.032633346668553935
